energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.532,0.0925,136.571,0.0286,0.432,6.25e-06,4,0.601,10,281613,-9.119,0.341,1,audio_features,spotify:track:3gdewACMIVMEWVbyb8O9sY
0.759,0.231,179.904,0.0431,0.0555,0.0,4,0.263,0,284496,-7.288,0.429,1,audio_features,spotify:track:0IhUdJRoolbYeEMPL59XPm
0.776,0.3,77.987,0.0459,0.0572,7.74e-06,4,0.585,5,244507,-5.898,0.427,1,audio_features,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F
0.715,0.0942,155.925,0.0362,0.00125,7.97e-06,3,0.315,11,289533,-8.072,0.497,0,audio_features,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs
0.609,0.187,135.671,0.0339,0.42,0.0,4,0.495,7,257440,-9.902,0.33,1,audio_features,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh
0.816,0.129,136.014,0.0332,0.0292,2.01e-05,4,0.412,3,232267,-3.83,0.288,1,audio_features,spotify:track:4xNfsvj9mOVnMTvHZZ8HNk
0.902,0.0613,167.995,0.0432,0.00943,0.00111,4,0.488,7,260858,-5.408,0.223,1,audio_features,spotify:track:6A4ILLjHu1lhoDyDcVvgs9
0.224,0.111,74.98,0.0293,0.874,0.0,4,0.531,2,200563,-10.878,0.276,1,audio_features,spotify:track:7jKCAmjP2cAn9WxxIVR14Y
0.614,0.178,141.97,0.0306,0.252,1.95e-05,4,0.689,4,219053,-6.137,0.411,0,audio_features,spotify:track:30VHURM5NOfoZmqp2iKawS
0.942,0.188,148.723,0.0366,0.0115,0.0,4,0.527,1,241307,-5.64,0.495,0,audio_features,spotify:track:7FwBtcecmlpc1sLySPXeGE
0.774,0.0861,100.894,0.0368,0.0135,0.00191,4,0.564,1,277477,-9.424,0.657,1,audio_features,spotify:track:6wpGqhRvJGNNXwWlPmkMyO
0.411,0.263,155.874,0.0284,0.496,0.0,3,0.443,2,160307,-6.26,0.336,1,audio_features,spotify:track:6uJJUsEmet132tE9hRhd1w
0.714,0.0782,164.599,0.0368,0.0955,0.0,4,0.461,6,208867,-4.539,0.279,1,audio_features,spotify:track:646m1EF4TIIkx9sLCkfilt
0.796,0.0938,123.077,0.0303,5.01e-05,0.0119,4,0.548,2,240188,-7.117,0.651,1,audio_features,spotify:track:7onU2Uh9PtdM4z7IhVC2KS
0.67,0.129,139.191,0.0318,0.343,4.95e-06,4,0.575,7,211578,-10.39,0.74,1,audio_features,spotify:track:4yugZvBYaoREkJKtbG08Qr
0.508,0.0575,147.125,0.027,0.00574,0.000494,4,0.579,2,391376,-9.484,0.609,1,audio_features,spotify:track:40riOy7x9W7GXjyGp4pjAv
0.952,0.112,125.303,0.0523,0.0901,0.0857,4,0.446,6,356067,-5.321,0.624,1,audio_features,spotify:track:7snQQk1zcKl8gZ92AnueZW
0.938,0.15,86.986,0.0421,0.00588,0.000162,4,0.555,2,213983,-3.854,0.391,1,audio_features,spotify:track:0UHxkkgI5GfV0XBRA1rqfe
0.874,0.452,91.038,0.0482,0.00842,0.012,4,0.532,9,258413,-5.183,0.361,0,audio_features,spotify:track:0U0ldCRmgCqhVvD6ksG63j
0.473,0.123,148.835,0.0325,0.00527,0.00162,4,0.376,4,314663,-5.636,0.0398,1,audio_features,spotify:track:7iPlcFvOMOzt6v0QvcAueZ
0.808,0.198,161.104,0.0346,0.0382,0.0,3,0.274,7,239453,-2.678,0.131,1,audio_features,spotify:track:58Mmq9tDlN7jiUqmvugggD
0.786,0.446,126.748,0.0319,0.00316,8.86e-05,4,0.483,7,323000,-5.735,0.793,1,audio_features,spotify:track:4DMKwE2E2iYDKY01C335Uw
0.783,0.108,176.701,0.233,0.000269,0.47,4,0.385,9,134467,-2.533,0.902,1,audio_features,spotify:track:4KcH1ZRV2W1q7Flq0QqC76
0.711,0.164,101.46,0.0265,0.00411,0.000548,4,0.465,5,309973,-6.178,0.255,1,audio_features,spotify:track:2VBluJiNj9bKohWX0dY1Lh
0.647,0.102,106.96,0.0658,0.28,0.0,4,0.724,1,207333,-5.642,0.435,1,audio_features,spotify:track:2rPE9A1vEgShuZxxzR2tZH
0.62,0.108,195.881,0.142,0.0419,1.38e-05,4,0.405,0,201342,-6.806,0.48,0,audio_features,spotify:track:5gySbo0vBp8YAlVBaBIgMH
0.728,0.19,107.976,0.0327,0.08,0.0,4,0.646,0,248360,-6.123,0.385,1,audio_features,spotify:track:69J73rzjNvo8b9ZwWlL4FS
0.479,0.088,81.998,0.0278,0.633,1.76e-05,4,0.675,0,209493,-9.87,0.454,0,audio_features,spotify:track:0vg4WnUWvze6pBOJDTq99k
0.384,0.0539,123.281,0.0414,0.639,7.7e-05,4,0.442,10,235987,-14.635,0.216,1,audio_features,spotify:track:3ZE3wv8V3w2T2f7nOCjV0N
0.814,0.0972,104.98,0.0314,0.023,0.0,4,0.546,7,285653,-5.146,0.146,1,audio_features,spotify:track:3ZffCQKLFLUvYM59XKLbVm
0.913,0.347,119.992,0.0466,0.0263,1.35e-05,4,0.551,0,224493,-4.063,0.544,0,audio_features,spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l
0.823,0.104,95.98,0.031,0.00741,0.0,4,0.508,3,270640,-3.711,0.152,1,audio_features,spotify:track:6q4XLE5WeOBWftoc9gTl2P
0.939,0.0857,140.02,0.094,0.000181,0.00568,4,0.442,8,228280,-4.18,0.266,1,audio_features,spotify:track:2RxqHa7EgbKHEjYav48eXX
0.914,0.601,156.014,0.111,0.0597,0.0,4,0.635,0,175493,-5.631,0.922,1,audio_features,spotify:track:5c5a2Ptu8eyIpljhQHjIqk
0.402,0.243,143.883,0.0536,0.288,0.0,4,0.392,0,354320,-9.961,0.228,0,audio_features,spotify:track:7tFiyTwD0nx5a1eklYtX2J
0.683,0.179,130.014,0.0277,0.0146,0.00101,4,0.467,0,296093,-6.072,0.133,1,audio_features,spotify:track:2jqMTXzB1VGVogdxfBRB3I
0.587,0.298,144.642,0.0278,0.0565,5.16e-06,4,0.425,9,226680,-5.453,0.194,1,audio_features,spotify:track:2nvC4i2aMo4CzRjRflysah
0.379,0.106,160.006,0.0281,0.34,0.0,3,0.391,5,257128,-7.297,0.314,1,audio_features,spotify:track:6RFl76IIkZLE6FozNwuXLh
0.63,0.146,106.978,0.0317,0.00119,0.0,4,0.525,6,285120,-6.673,0.236,1,audio_features,spotify:track:1nxGSNnFCpDLwm3umCOUpi
0.487,0.193,77.344,0.0307,0.577,0.0,4,0.488,4,230267,-6.371,0.217,1,audio_features,spotify:track:5rZXBHUU2qz7huEckTwpqo
0.47,0.125,109.46,0.0406,0.0613,0.00214,4,0.283,11,265773,-9.408,0.211,1,audio_features,spotify:track:3ASRv4r9T0OIeKmVGPTH5g
0.432,0.0855,102.077,0.0281,0.235,1.42e-06,4,0.516,1,262747,-7.549,0.131,0,audio_features,spotify:track:4zhbaPw1LhwKOTWD4E20vK
0.524,0.235,76.042,0.0298,0.0312,1.09e-06,4,0.481,7,226293,-7.035,0.165,1,audio_features,spotify:track:45B31c6tSg5Zw7PuF1WbEt
0.616,0.0826,81.993,0.044,0.0286,0.0,4,0.163,9,224720,-9.996,0.33,1,audio_features,spotify:track:6j6bTAiW0oEfLlAjmRNcbb
0.637,0.0971,145.034,0.0514,0.0294,0.00461,3,0.435,1,222227,-8.081,0.173,0,audio_features,spotify:track:4IJpSYe4IvgC3VyhY9NEsd
0.738,0.0365,116.019,0.0279,5.56e-05,9.33e-06,4,0.592,8,222973,-6.625,0.754,1,audio_features,spotify:track:7hzfrKYkRfPUIiagwhBtZS
0.913,0.156,115.715,0.132,0.0591,0.00173,4,0.573,6,208400,-4.793,0.422,0,audio_features,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
0.639,0.179,107.049,0.104,0.00517,0.0,4,0.889,11,234693,-4.721,0.461,0,audio_features,spotify:track:043Rs5H7XAV2soPAy88x02
0.954,0.573,143.85,0.044,0.000346,5.38e-06,4,0.465,10,193653,-4.251,0.458,1,audio_features,spotify:track:5lDriBxJd22IhOH9zTcFrV
0.28,0.102,85.794,0.0281,0.468,1.1e-06,4,0.322,6,248467,-9.367,0.175,0,audio_features,spotify:track:0eZBeB2xFIS65jQHerispi
0.916,0.126,118.004,0.0387,0.000297,0.0259,4,0.58,3,305907,-4.358,0.683,0,audio_features,spotify:track:5anCkDvJ17aznvK5TED5uo
0.653,0.115,90.012,0.032,0.000452,0.000987,4,0.634,6,210935,-7.515,0.26,1,audio_features,spotify:track:0cDwUAF7yQrOLRcFfJpSc2
0.661,0.118,180.119,0.0439,0.0274,0.0,4,0.513,3,228347,-6.8,0.461,1,audio_features,spotify:track:3DamFFqW32WihKkTVlwTYQ
0.714,0.155,175.924,0.129,0.0549,0.0,4,0.564,7,204013,-4.987,0.33,1,audio_features,spotify:track:37f4ITSlgPX81ad2EvmVQr
0.522,0.156,86.318,0.159,0.0328,0.0,4,0.794,8,174133,-7.829,0.567,1,audio_features,spotify:track:6V2D8Lls36APk0THDjBDfE
0.226,0.122,119.88,0.0466,0.053,0.94,4,0.265,9,246272,-20.197,0.0386,0,audio_features,spotify:track:1yzSSn5Sj1azuo7RgwvDb3
0.767,0.0692,119.538,0.0579,0.454,0.192,4,0.93,4,131518,-11.646,0.972,1,audio_features,spotify:track:2Nc1Tl1qHWLAtBnqRJmkP3
0.87,0.251,101.284,0.0348,0.000117,0.000102,4,0.492,9,197008,-5.295,0.107,1,audio_features,spotify:track:5f92OpAQ0TenbweMyWR3Fb
0.772,0.132,139.993,0.0316,0.00658,5.65e-05,4,0.472,5,393480,-5.928,0.6,1,audio_features,spotify:track:2FML7gk7ac6quGFIjvkDb3
0.834,0.0924,118.223,0.0577,0.0738,9.48e-05,4,0.249,0,547107,-8.21,0.338,1,audio_features,spotify:track:5EWPGh7jbTNO2wakv8LjUI
0.34,0.116,82.433,0.0339,0.58,0.0032,4,0.338,9,482830,-12.049,0.197,0,audio_features,spotify:track:5CQ30WqJwcep0pYcV4AMNc
0.462,0.0964,149.178,0.0308,0.843,0.0585,4,0.237,0,192987,-7.79,0.338,1,audio_features,spotify:track:39pyh95CX5M3bpN7XiFJeP
0.668,0.152,82.904,0.0294,0.0127,0.0,4,0.447,4,232800,-4.683,0.0695,1,audio_features,spotify:track:1lHtE5JDCas1EwXhQIMOIj
0.832,0.158,142.913,0.0346,0.00377,0.0,4,0.421,1,214333,-3.163,0.311,1,audio_features,spotify:track:7AiENVyU1HoEpdq3F4VRVd
0.878,0.162,183.943,0.0366,0.0146,0.0,3,0.375,1,192720,-4.547,0.567,1,audio_features,spotify:track:6jbhDgHa0ACUGyOfbFvbZb
0.835,0.068,123.986,0.0341,0.041,9.45e-06,4,0.726,0,184071,-3.914,0.579,1,audio_features,spotify:track:1yzBGun3xDY7WpHOIP9nNp
0.885,0.387,131.862,0.11,0.0123,0.0,4,0.618,7,158400,-4.322,0.731,1,audio_features,spotify:track:3sR7ZJLhTV28FJku2Wz37K
0.54,0.179,129.171,0.0347,0.0339,0.00248,4,0.557,9,185733,-10.484,0.394,1,audio_features,spotify:track:6dGnYIeXmHdcikdzNNDMm2
0.813,0.197,109.25,0.0568,0.000674,0.000631,4,0.301,2,436960,-8.786,0.236,0,audio_features,spotify:track:3PKLkUWUg493h1FHfDAi3d
0.641,0.112,79.759,0.0291,0.0163,0.22,4,0.294,11,536067,-9.316,0.226,1,audio_features,spotify:track:3YRCqOhFifThpSRFJ1VWFM
0.48,0.178,120.317,0.0849,0.521,0.00428,4,0.358,9,413947,-11.79,0.356,1,audio_features,spotify:track:3TO7bbrUKrOSPGRTB5MeCz
0.581,0.177,171.961,0.0302,0.203,0.655,4,0.354,9,258587,-6.074,0.337,1,audio_features,spotify:track:1EL8X3XUO27bksrv9cLvXE
0.864,0.541,162.233,0.0673,0.0172,0.0567,4,0.288,4,250947,-6.762,0.621,0,audio_features,spotify:track:3MXA2BkBk0lSuMpRoM7SK2
0.366,0.0837,127.167,0.0286,0.15,0.308,4,0.472,11,382297,-12.595,0.171,0,audio_features,spotify:track:5HNCy40Ni5BZJFw1TKzRsC
0.394,0.247,104.126,0.0428,0.0781,0.000677,4,0.694,0,238747,-15.881,0.719,1,audio_features,spotify:track:4gMgiXfqyzZLMhsksGmbQV
0.262,0.832,122.883,0.0414,0.735,0.0114,4,0.481,7,334744,-15.73,0.375,1,audio_features,spotify:track:6mFkJmJqdDVQ1REhVfGgd1
0.976,0.376,142.008,0.0494,0.004,1.18e-05,4,0.624,8,199120,-5.355,0.514,1,audio_features,spotify:track:6MjljecHzHelUDismyKkba
0.581,0.0978,81.987,0.0315,0.0961,6.31e-06,4,0.552,9,220000,-6.521,0.0703,1,audio_features,spotify:track:4ZlAB5Ki4A5KgHuGNriWNg
0.798,0.13,130.02,0.0282,0.00181,8.67e-05,4,0.545,4,227173,-4.018,0.554,1,audio_features,spotify:track:7qXM4YjJAz6QTLg5gftm0r
0.787,0.127,126.062,0.103,0.0679,0.15,4,0.604,0,245040,-3.674,0.301,0,audio_features,spotify:track:2dOTkLZFbpNXrhc24CnTFd
0.915,0.0503,88.917,0.28,0.0846,0.0,3,0.4,0,198773,-4.89,0.878,1,audio_features,spotify:track:2a1o6ZejUi8U3wzzOtCOYw
0.623,0.146,163.893,0.0288,0.0739,0.000424,4,0.455,8,352187,-3.878,0.208,1,audio_features,spotify:track:10eBRyImhfqVvkiVEGf0N0
0.874,0.222,130.083,0.0416,0.00383,1.04e-06,4,0.586,11,234346,-5.535,0.756,1,audio_features,spotify:track:3Ar4cp3V0SeWXEuRelC86p
0.879,0.121,105.17,0.0764,0.0689,0.0,4,0.378,4,237905,-4.426,0.616,1,audio_features,spotify:track:1y90o8GOMspW0WCiw8VgAM
0.879,0.0672,128.047,0.0364,0.000663,0.0004,4,0.72,2,221414,-7.276,0.874,1,audio_features,spotify:track:4isvtgAARwvLe0plqAEBkp
0.773,0.0763,104.065,0.0341,0.214,0.0,4,0.555,2,189933,-3.982,0.6,1,audio_features,spotify:track:4bfyeYgNLENrwLRRSKXfM3
0.954,0.205,114.635,0.264,0.529,0.0,5,0.855,0,248133,-1.19,0.668,0,audio_features,spotify:track:7Ie9W94M7OjPoZVV216Xus
0.847,0.0916,105.03,0.0529,0.00743,0.0,4,0.531,1,207679,-3.907,0.38,1,audio_features,spotify:track:11IJA30efHAJLO3qroPh5L
0.869,0.29,91.988,0.0289,0.00261,1.77e-06,4,0.549,4,178733,-4.905,0.433,0,audio_features,spotify:track:6GBndDk0OEpDkmKoSBJyyK
0.257,0.0935,75.752,0.0252,0.907,0.183,4,0.547,0,187867,-12.358,0.169,1,audio_features,spotify:track:7pKfPomDEeI4TPT6EOYjn9
0.932,0.349,112.937,0.0554,0.013,0.169,4,0.564,11,146250,-10.068,0.619,1,audio_features,spotify:track:78lgmZwycJ3nzsdgmPPGNx
0.707,0.337,173.993,0.0428,0.0113,0.0,4,0.339,0,183808,-5.121,0.359,0,audio_features,spotify:track:6Xs7OKt6i0Ddq8B4M5Dgvr
0.902,0.0574,124.985,0.0296,0.13,9.45e-05,4,0.659,7,230013,-6.192,0.809,1,audio_features,spotify:track:77a5Eu7lC3tG0Sukt2O91U
0.66,0.084,136.592,0.051,0.0457,0.000293,3,0.712,1,242854,-8.797,0.399,1,audio_features,spotify:track:4ccocJuCXjkpckAL1ZzCTA
0.537,0.0782,108.448,0.0269,0.079,0.000139,4,0.497,4,265000,-9.264,0.371,1,audio_features,spotify:track:2ESrrtLRj1omqqsnGiyafo
0.718,0.102,163.987,0.0603,0.0485,0.000343,4,0.48,7,405320,-5.461,0.252,1,audio_features,spotify:track:31L9yLXSj6LpCFupyMV6CR
0.92,0.334,122.979,0.0733,0.002,0.0201,4,0.45,11,223773,-4.982,0.0773,1,audio_features,spotify:track:6f49kbOuQSOsStBpyGvQfA
0.689,0.0888,172.054,0.127,0.00465,2.23e-06,4,0.562,2,233627,-6.745,0.351,1,audio_features,spotify:track:0VE4kBnHJUgtMf0dy6DRmW
0.638,0.0849,184.086,0.075,0.02,7.66e-05,4,0.378,10,250627,-5.576,0.735,1,audio_features,spotify:track:7a86XRg84qjasly9f6bPSD
0.703,0.0964,94.858,0.102,0.0218,0.0,4,0.541,0,215724,-5.573,0.238,1,audio_features,spotify:track:79Mjfhh393dZdAsTvUFDR6
0.664,0.106,140.06,0.0741,0.0709,0.0056,4,0.553,8,220440,-7.417,0.467,1,audio_features,spotify:track:59HjlYCeBsxdI0fcm3zglw
0.473,0.391,119.992,0.0514,0.287,0.0,4,0.765,10,237300,-5.829,0.34,1,audio_features,spotify:track:5kqIPrATaCc2LqxVWzQGbk
0.917,0.197,126.115,0.0638,0.00428,0.0,4,0.55,0,177827,-3.159,0.601,1,audio_features,spotify:track:6TfBA04WJ3X1d1wXhaCFVT
0.75,0.113,125.103,0.0414,8.49e-05,0.0,4,0.358,3,258253,-3.572,0.218,1,audio_features,spotify:track:0c3fJd2HRi6uHWgTljIae5
0.524,0.144,80.173,0.0296,0.52,1.68e-05,4,0.351,8,259173,-5.181,0.219,1,audio_features,spotify:track:5FJuCfgmPKoWPyG6HlFuwo
0.922,0.126,162.978,0.0592,0.0596,2.05e-06,4,0.333,0,289559,-4.087,0.335,1,audio_features,spotify:track:7CVYxHq1L0Z4G84jTDS6Jl
0.45,0.54,100.456,0.0267,0.166,2.06e-06,4,0.486,5,254293,-10.298,0.55,1,audio_features,spotify:track:0pQskrTITgmCMyr85tb9qq
0.858,0.344,125.048,0.0303,0.00688,0.0,4,0.605,7,220217,-3.982,0.555,1,audio_features,spotify:track:5rbTDwUOc1yuJNzB0ZCuXw
0.835,0.279,152.072,0.0513,0.207,3.86e-06,4,0.472,3,224931,-5.12,0.698,1,audio_features,spotify:track:4MZrgOZ2nyMT56o2odz46r
0.58,0.108,120.021,0.0408,0.0114,2.28e-06,4,0.783,7,193400,-6.548,0.66,1,audio_features,spotify:track:3TGRqZ0a2l1LRblBkJoaDx
0.488,0.111,103.023,0.0449,0.192,0.76,4,0.507,8,302533,-15.063,0.0369,1,audio_features,spotify:track:3j9WvPrVhZuH8AmTeVakfR
0.433,0.185,90.117,0.0311,0.11,0.0,4,0.464,2,236053,-6.627,0.12,1,audio_features,spotify:track:64WaZQ8xhkNHtkunRzpKNf
0.778,0.082,125.0,0.0784,0.00851,0.0,4,0.726,4,198840,-2.483,0.868,1,audio_features,spotify:track:03oZejWqXLbKhhM4iTgShq
0.933,0.0863,120.572,0.14,0.0734,0.0,4,0.678,2,214720,-4.959,0.336,1,audio_features,spotify:track:6AzCBeiDuUXGXjznBufswB
0.668,0.0681,149.924,0.0474,0.231,0.0,4,0.425,9,256707,-7.542,0.351,1,audio_features,spotify:track:4lrC9aBnzlG9U5DDoHMnyt
0.889,0.328,126.916,0.039,0.0883,0.0,4,0.68,7,204973,-4.335,0.626,1,audio_features,spotify:track:3Fld33fuWTUUmVx9BEkyDx
